"Method","Mode","Image","TP","TN","FP","FN","DICE","JACCARD","PRECISION","RECALL","ACCURACY","F1","SPECIFICITY","NPV","FDR","Overlap","Sigma","Organ","Dataset"
"HistoKit (no postprocessing)","gaussian","95031375-df8d-17e5-9a91-20de2ed0d02b_155923_3.png",8098298,356443,17177,2813158,0.851245847267749,0.741016557148547,0.997883426416815,0.742183078042014,0.749196638108596,0.851245847267749,0.954025480434666,0.112456741400574,0.00211657358318521,0.9,0.75,"Colon","GrandQC"
"HistoKit (no postprocessing)","gaussian","6b2d30c9-44cd-a969-e61b-a79baabcf1be_142247_1.png",7186481,1182017,6724,19437,0.998183153237874,0.99637289636724,0.999065228920905,0.997302633751869,0.996883613735829,0.998183153237874,0.994343595450985,0.983822102219477,0.000934771079094785,0.9,0.75,"Colon","GrandQC"
"HistoKit (no postprocessing)","gaussian","7113876b-cb4d-9a5f-bbe7-a494ab48a133_145721_3.png",7289365,851343,9266,56725,0.995493871136227,0.99102817049236,0.998730446846813,0.992278205140422,0.991958886270838,0.995493871136227,0.989233205787994,0.937532211244092,0.00126955315318722,0.9,0.75,"Colon","GrandQC"
"HistoKit (no postprocessing)","gaussian","f809f95e-93da-4287-8a36-e23950f18d38_162835_1.png",2355413,516925,17688,64574,0.982837369144902,0.966253909975694,0.992546461360052,0.97331638558389,0.972157990929398,0.982837369144902,0.966914384797975,0.888952517545172,0.00745353863994832,0.9,0.75,"Colon","GrandQC"
"HistoKit (no postprocessing)","gaussian","cbce74a2-7428-f9d6-deea-88fb31a09ea9_143207_1.png",9858540,102038,28591,31114,0.996981056324372,0.993980285826777,0.997108261233719,0.996853883866918,0.994041585452227,0.996981056324372,0.78112823339381,0.766327204998798,0.00289173876628114,0.9,0.75,"Colon","GrandQC"
"HistoKit (no postprocessing)","gaussian","0cbd0965-0ecb-30f3-7909-3615ae1e668b_140306_7.png",0,3980465,49231,0,0,0,0,NA,0.987782949383775,NA,0.987782949383775,1,1,0.9,0.75,"Colon","GrandQC"
"HistoKit (no postprocessing)","gaussian","e31b457d-11d9-9b22-d318-5b97845e05b9_143436_1.png",7921646,182832,3310,186698,0.988149164551278,0.976575923973089,0.999582332065945,0.976974583219459,0.977092251406537,0.988149164551278,0.982217876674797,0.494769030931183,0.000417667934055407,0.9,0.75,"Colon","GrandQC"
"HistoKit (no postprocessing)","gaussian","d5907b31-ce36-7334-168a-45b235153f97_142531_3.png",4618334,261674,4807,1822166,0.83486693033514,0.716542129025041,0.998960230717601,0.717076935020573,0.727601285884066,0.83486693033514,0.981961190478871,0.125572980651106,0.00103976928239913,0.9,0.75,"Colon","GrandQC"
"HistoKit (no postprocessing)","gaussian","b4a3ca7b-c417-ed09-85e0-46323c53f954_140543_2.png",22023469,1149655,53650,6942,0.998626266308723,0.997256301728201,0.997569882193415,0.99968489012756,0.997392065909732,0.998626266308723,0.955414462667403,0.993997909384168,0.00243011780658518,0.9,0.75,"Colon","GrandQC"
"HistoKit (no postprocessing)","gaussian","dedad911-64ee-f08c-5927-fcd1f9f50cc1_141925_1.png",2050885,1502386,66107,4325,0.983118746407772,0.966797984459654,0.968773146048733,0.997895592177928,0.980563528523171,0.983118746407772,0.957853174990261,0.997129509242317,0.0312268539512667,0.9,0.75,"Colon","GrandQC"
