"Method","Mode","Image","TP","TN","FP","FN","DICE","JACCARD","PRECISION","RECALL","ACCURACY","F1","SPECIFICITY","NPV","FDR","Overlap","Sigma","Organ","Dataset"
"HistoKit (no postprocessing)","constant","63515737-df00-8806-b37c-2eeed3f51d2f_160144_3.png",3428371,1290937,821,38691,0.994270512658031,0.988606305345365,0.999760585000782,0.988840407238175,0.991697101382275,0.994270512658031,0.99936443203758,0.9709008835554,0.000239414999218475,0.75,NA,"Colon","GrandQC"
"HistoKit (no postprocessing)","constant","9c11305f-9a45-9e5e-ad0d-26ee9868ea85_151624_2.png",833482,2165023,635541,2903,0.723066806396091,0.566252651288176,0.567371647686932,0.996529110397724,0.824456158169939,0.723066806396091,0.77306678226243,0.998660932153588,0.432628352313068,0.75,NA,"Colon","GrandQC"
"HistoKit (no postprocessing)","constant","222ae6ec-aad2-d76b-96ce-832119c855bb_161654_7.png",0,22236317,539,0,0,0,0,NA,0.999975760961891,NA,0.999975760961891,1,1,0.75,NA,"Colon","GrandQC"
"HistoKit (no postprocessing)","constant","3387f347-06dd-7f7b-50b8-8d1a72088303_152337_1.png",6814721,481550,5508,3265357,0.806461208071546,0.675689146867619,0.999192402483846,0.676058359865866,0.690468164694767,0.806461208071546,0.988691285226811,0.128519336081734,0.000807597516153783,0.75,NA,"Colon","GrandQC"
"HistoKit (no postprocessing)","constant","6edc5bc4-e291-c11b-6fc8-450de3279215_144119_2.png",4394478,1217280,17341,20681,0.995692523534102,0.991421996615905,0.99606942170565,0.995315910480234,0.993270180431804,0.995692523534102,0.98595439410151,0.983294304101664,0.00393057829434979,0.75,NA,"Colon","GrandQC"
"HistoKit (no postprocessing)","constant","bc67e5a0-18d9-7e77-9e7c-31a2ad635848_162418_1.png",4782756,3317089,32029,50638,0.991431854653609,0.983009288195497,0.993347781884342,0.989523303914392,0.989897112280434,0.991431854653609,0.990436586587872,0.984963745576764,0.00665221811565833,0.75,NA,"Colon","GrandQC"
"HistoKit (no postprocessing)","constant","bb87bd99-35a9-7681-1e96-e16035c6cb7c_142800_3.png",3181862,3184266,30304,21672,0.991898623688763,0.983927457095872,0.990565867392906,0.99323497112876,0.991901658184411,0.991898623688763,0.990572922661507,0.993240043943457,0.0094341326070944,0.75,NA,"Colon","GrandQC"
"HistoKit (no postprocessing)","constant","72dd2011-1bd9-ce93-f9e1-07f6077d720d_154913_2.png",2153338,7884593,264373,53888,0.931185873450817,0.871232752562208,0.89065152948388,0.975585644605491,0.969268530363284,0.931185873450817,0.967557479071578,0.993211799587352,0.10934847051612,0.75,NA,"Colon","GrandQC"
"HistoKit (no postprocessing)","constant","f6e1dfa1-5106-6910-1781-639e714c1d19_164025_4.png",12776508,499411,45781,2004100,0.925736744226521,0.861741048342924,0.996429576653591,0.864410178525809,0.866246394967963,0.925736744226521,0.916027748022715,0.199484244327267,0.00357042334640874,0.75,NA,"Colon","GrandQC"
"HistoKit (no postprocessing)","constant","b4a3ca7b-c417-ed09-85e0-46323c53f954_140543_1.png",11031641,444438,9525,40192,0.997751684427788,0.995513456022267,0.999137319373697,0.996369887443208,0.995686458445039,0.997751684427788,0.979018113811037,0.91706662814931,0.000862680626303418,0.75,NA,"Colon","GrandQC"
"HistoKit (no postprocessing)","constant","471ad0ae-4155-cece-bd54-ae74bd634547_150346_1.png",6346147,25365132,88554,27683,0.99092503269891,0.982013294165125,0.986238055194795,0.995656771517282,0.996347908520414,0.99092503269891,0.996520975390362,0.998909809723735,0.0137619448052054,0.75,NA,"Colon","GrandQC"
